work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Engineer,70000,USD,70000,US,100,US,M
2023,MI,FT,Engineer,133000,USD,133000,US,0,US,M
2023,MI,FT,Engineer,58400,USD,58400,US,0,US,M
2023,SE,FT,Engineer,243600,USD,243600,US,0,US,M
2023,SE,FT,Engineer,148200,USD,148200,US,0,US,M
2023,EN,FT,Finance,131600,USD,131600,US,100,US,M
2023,EN,FT,Finance,82400,USD,82400,US,100,US,M
2023,SE,FT,Engineer,245700,USD,245700,US,0,US,M
2023,SE,FT,Engineer,132300,USD,132300,US,0,US,M
2023,EN,FT,Finance,155750,USD,155750,US,100,US,M
2023,EN,FT,Finance,79350,USD,79350,US,100,US,M
2023,SE,FT,Engineer,234000,USD,234000,US,0,US,M
2023,SE,FT,Engineer,117000,USD,117000,US,0,US,M
2023,SE,FT,Engineer,242000,USD,242000,US,0,US,M
2023,SE,FT,Engineer,106200,USD,106200,US,0,US,M
2023,SE,FT,Finance,123900,USD,123900,US,100,US,M
2023,SE,FT,Finance,75000,USD,75000,US,100,US,M
2023,MI,FT,Engineer,136500,USD,136500,US,0,US,M
2023,MI,FT,Engineer,123500,USD,123500,US,0,US,M
2023,SE,FT,Engineer,227500,USD,227500,US,100,US,M
2023,SE,FT,Engineer,145600,USD,145600,US,100,US,M
2023,SE,FT,Engineer,186754,USD,186754,US,0,US,M
2023,SE,FT,Engineer,101000,USD,101000,US,0,US,M
2023,EN,FT,Scientist,149800,USD,149800,US,0,US,M
2023,EN,FT,Scientist,70800,USD,70800,US,0,US,M
2023,MI,FT,Engineer,132000,USD,132000,US,100,US,M
2023,MI,FT,Engineer,111000,USD,111000,US,100,US,M
2023,MI,FT,Engineer,180000,USD,180000,US,100,US,M
2023,MI,FT,Engineer,162000,USD,162000,US,100,US,M
2023,SE,FT,Finance,150000,USD,150000,US,0,US,M
2023,SE,FT,Finance,135000,USD,135000,US,0,US,M
2023,SE,FT,Engineer,172700,USD,172700,IN,0,IN,M
2023,SE,FT,Engineer,82900,USD,82900,IN,0,IN,M
2023,SE,FT,Engineer,115000,USD,115000,US,0,US,M
2023,SE,FT,Engineer,95000,USD,95000,US,0,US,M
2023,MI,FT,Scientist,238000,USD,238000,US,0,US,M
2023,MI,FT,Scientist,144500,USD,144500,US,0,US,M
2023,SE,FT,Engineer,145000,USD,145000,US,0,US,M
2023,SE,FT,Engineer,98500,USD,98500,US,0,US,M
2023,MI,FT,Scientist,209300,USD,209300,US,100,US,M
2023,MI,FT,Scientist,123800,USD,123800,US,100,US,M
2023,EN,FT,Finance,18000,USD,18000,NG,100,NG,S
2023,EN,FT,Engineer,130400,USD,130400,US,0,US,M
2023,EN,FT,Engineer,70800,USD,70800,US,0,US,M
2023,MI,FT,Engineer,160000,USD,160000,US,0,US,M
2023,MI,FT,Engineer,75000,USD,75000,US,0,US,M
2023,SE,FT,Engineer,247300,USD,247300,US,0,US,M
2023,SE,FT,Engineer,139700,USD,139700,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,Scientist,278700,USD,278700,US,0,US,M
2023,SE,FT,Scientist,159300,USD,159300,US,0,US,M
2023,SE,FT,Scientist,254900,USD,254900,US,0,US,M
2023,SE,FT,Scientist,203920,USD,203920,US,0,US,M
2023,SE,FT,Scientist,191200,USD,191200,US,0,US,M
2023,SE,FT,Scientist,170186,USD,170186,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,Finance,150000,USD,150000,US,100,US,M
2023,SE,FT,Finance,125000,USD,125000,US,100,US,M
2023,EX,FT,Engineer,200000,USD,200000,US,0,US,M
2023,EX,FT,Engineer,150000,USD,150000,US,0,US,M
2023,MI,FT,IT,100000,USD,100000,US,0,US,M
2023,MI,FT,IT,95000,USD,95000,US,0,US,M
2023,SE,FT,Scientist,278700,USD,278700,US,0,US,M
2023,SE,FT,Scientist,159300,USD,159300,US,0,US,M
2023,SE,FT,Engineer,247300,USD,247300,US,0,US,M
2023,SE,FT,Engineer,139700,USD,139700,US,0,US,M
2023,MI,FT,Scientist,212800,USD,212800,US,0,US,L
2023,MI,FT,Scientist,124100,USD,124100,US,0,US,L
2023,SE,FT,Scientist,90000,USD,90000,US,50,US,L
2023,SE,FT,IT,198000,USD,198000,US,0,US,M
2023,SE,FT,IT,94000,USD,94000,US,0,US,M
2023,SE,FT,Scientist,219100,USD,219100,US,0,US,M
2023,SE,FT,Scientist,118500,USD,118500,US,0,US,M
2023,SE,FT,Engineer,160000,USD,160000,US,100,US,M
2023,SE,FT,Engineer,128000,USD,128000,US,100,US,M
2023,EN,FT,Engineer,60000,USD,60000,US,100,US,M
2023,EN,FT,Engineer,48000,USD,48000,US,100,US,M
2023,EX,FT,Engineer,234000,USD,234000,US,0,US,M
2023,EX,FT,Engineer,146000,USD,146000,US,0,US,M
2023,SE,FT,Scientist,179000,USD,179000,US,0,US,M
2023,SE,FT,Scientist,112000,USD,112000,US,0,US,M
2023,MI,FT,Finance,130100,USD,130100,US,0,US,M
2023,MI,FT,Finance,75000,USD,75000,US,0,US,M
2023,MI,FT,Management,166500,USD,166500,US,0,US,M
2023,MI,FT,Management,104000,USD,104000,US,0,US,M
2023,MI,FT,Engineer,166000,USD,166000,US,0,US,M
